Id,Label
234650,Shadowrun Returns
239030,"Papers, Please"
249630,Delver
252610,Death Road to Canada
245390,"I Have No Mouth, and I Must Scream"
259680,Tales of Maj'Eyal
221910,The Stanley Parable
211820,Starbound
367540,Starbound - Unstable
269790,DreadOut
272060,Serena
244430,realMyst: Masterpiece Edition
284390,The Last Door - Collector's Edition
286500,"House of 1,000 Doors - Family Secrets"
288160,The Room
290770,The Fall
294100,RimWorld
300550,Shadowrun: Dragonfall - Director's Cut
305620,The Long Dark
247080,Crypt of the NecroDancer
319510,Five Nights at Freddy's
322500,SUPERHOT
282070,This War of Mine
346250,The Old Tree
346940,Shadowrun: Hong Kong - Extended Edition
354200,Aberoth
354240,"Please, Don’t Touch Anything"
356670,Spooky's Jump Scare Mansion
361990,Lakeview Cabin Collection
362680,Fran Bow
368370,Her Story
368650,Dark Echo
374570,Kung Fury
384110,Pathologic Classic HD
391540,Undertale
397460,The Jackbox Party Pack 2
402530,The Last Door: Season 2 - Collector's Edition
411560,Reveal The Deep
413150,Stardew Valley
425580,The Room Two
434170,The Jackbox Party Pack 3
440880,The Count Lucanor
442070,Drawful 2
319630,Life is Strange™
542310,Escape the Game: Intro
698780,Doki Doki Literature Club
240720,Getting Over It with Bennett Foddy
606140,Survived By
220,Half-Life 2
240,Counter-Strike: Source
280,Half-Life: Source
320,Half-Life 2: Deathmatch
340,Half-Life 2: Lost Coast
360,Half-Life Deathmatch: Source
6910,Deus Ex: Game of the Year Edition
6920,Deus Ex: Invisible War
6980,Thief: Deadly Shadows
4540,Titan Quest
4550,Titan Quest: Immortal Throne
475150,Titan Quest Anniversary Edition
9050,DOOM 3
9070,DOOM 3: Resurrection of Evil
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl
380,Half-Life 2: Episode One
400,Portal
420,Half-Life 2: Episode Two
11450,Overlord
12500,Puzzle Quest
9740,Indigo Prophecy
13200,Unreal II: The Awakening
13210,Unreal Tournament 3: Black Edition
13230,Unreal Tournament 2004
13240,Unreal Tournament: Game of the Year Edition
13250,Unreal Gold
15100,Assassin's Creed
7760,X-COM: UFO Defense
20510,S.T.A.L.K.E.R.: Clear Sky
17300,Crysis
17330,Crysis Warhead
17340,Crysis Wars
20900,The Witcher: Enhanced Edition
17140,Hinterland
500,Left 4 Dead
18500,Defense Grid: The Awakening
12210,Grand Theft Auto IV
22120,Penumbra: Black Plague
22140,Penumbra: Requiem
22180,Penumbra: Overture
29720,Guild Wars
3590,Plants vs. Zombies: Game of the Year
7850,Cryostasis
3900,Sid Meier's Civilization IV
3990,Sid Meier's Civilization IV: Warlords
8800,Sid Meier's Civilization IV: Beyond the Sword
16810,Sid Meier's Civilization IV: Colonization
34440,Sid Meier's Civilization IV
34450,Sid Meier's Civilization IV: Warlords
34460,Sid Meier's Civilization IV: Beyond the Sword
22330,The Elder Scrolls IV: Oblivion 
35700,Trine
6060,"Star Wars: Battlefront 2 (Classic, 2005)"
38220,Section 8
32370,STAR WARS™: Knights of the Old Republic™
