game_title	steam_url
DARK SOULS™ II: Scholar of the First Sin	https://store.steampowered.com/app/335300/DARK_SOULS_II_Scholar_of_the_First_Sin/?snr=1_7_7_230_150_9
FINAL FANTASY X/X-2 HD Remaster	https://store.steampowered.com/app/359870/FINAL_FANTASY_XX2_HD_Remaster/?snr=1_7_7_230_150_9
Dishonored®: Death of the Outsider™	https://store.steampowered.com/app/614570/Dishonored_Death_of_the_Outsider/?snr=1_7_7_230_150_9
Dragon's Dogma: Dark Arisen	https://store.steampowered.com/app/367500/Dragons_Dogma_Dark_Arisen/?snr=1_7_7_230_150_9
Night in the Woods	https://store.steampowered.com/app/481510/Night_in_the_Woods/?snr=1_7_7_230_150_9
SCUM	https://store.steampowered.com/app/513710/SCUM/?snr=1_7_7_230_150_9
RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil	https://store.steampowered.com/app/418370/RESIDENT_EVIL_7_biohazard__BIOHAZARD_7_resident_evil/?snr=1_7_7_230_150_10
DRAGON BALL XENOVERSE 2	https://store.steampowered.com/app/454650/DRAGON_BALL_XENOVERSE_2/?snr=1_7_7_230_150_10
Tales of Berseria™	https://store.steampowered.com/app/429660/Tales_of_Berseria/?snr=1_7_7_230_150_10
Bloons TD 6	https://store.steampowered.com/app/960090/Bloons_TD_6/?snr=1_7_7_230_150_10
Call of Duty®: Black Ops III	https://store.steampowered.com/app/311210/Call_of_Duty_Black_Ops_III/?snr=1_7_7_230_150_10
Moss	https://store.steampowered.com/app/846470/Moss/?snr=1_7_7_230_150_10
South Park™: The Fractured But Whole™	https://store.steampowered.com/app/488790/South_Park_The_Fractured_But_Whole/?snr=1_7_7_230_150_10
Graveyard Keeper	https://store.steampowered.com/app/599140/Graveyard_Keeper/?snr=1_7_7_230_150_10
Wolfenstein: The New Order	https://store.steampowered.com/app/201810/Wolfenstein_The_New_Order/?snr=1_7_7_230_150_10
Wolfenstein: The Old Blood	https://store.steampowered.com/app/350080/Wolfenstein_The_Old_Blood/?snr=1_7_7_230_150_10
MY HERO ONE'S JUSTICE	https://store.steampowered.com/app/748360/MY_HERO_ONES_JUSTICE/?snr=1_7_7_230_150_10
Just Cause™ 3	https://store.steampowered.com/app/225540/Just_Cause_3/?snr=1_7_7_230_150_10
Neverwinter	https://store.steampowered.com/app/109600/Neverwinter/?snr=1_7_7_230_150_10
House Party	https://store.steampowered.com/app/611790/House_Party/?snr=1_7_7_230_150_10
EVERSPACE™	https://store.steampowered.com/app/396750/EVERSPACE/?snr=1_7_7_230_150_10
Devil May Cry HD Collection	https://store.steampowered.com/app/631510/Devil_May_Cry_HD_Collection/?snr=1_7_7_230_150_10
Car Mechanic Simulator 2018	https://store.steampowered.com/app/645630/Car_Mechanic_Simulator_2018/?snr=1_7_7_230_150_10
Idle Champions of the Forgotten Realms	https://store.steampowered.com/app/627690/Idle_Champions_of_the_Forgotten_Realms/?snr=1_7_7_230_150_10
Watch_Dogs® 2	https://store.steampowered.com/app/447040/Watch_Dogs_2/?snr=1_7_7_230_150_10
Donut County	https://store.steampowered.com/app/702670/Donut_County/?snr=1_7_7_230_150_10
RESONANCE OF FATE™/END OF ETERNITY™ 4K/HD EDITION	https://store.steampowered.com/app/645730/RESONANCE_OF_FATEEND_OF_ETERNITY_4KHD_EDITION/?snr=1_7_7_230_150_10
Rocksmith® 2014 Edition - Remastered	https://store.steampowered.com/app/221680/Rocksmith_2014_Edition__Remastered/?snr=1_7_7_230_150_10
Microsoft Flight Simulator X: Steam Edition	https://store.steampowered.com/app/314160/Microsoft_Flight_Simulator_X_Steam_Edition/?snr=1_7_7_230_150_10
Danganronpa V3: Killing Harmony	https://store.steampowered.com/app/567640/Danganronpa_V3_Killing_Harmony/?snr=1_7_7_230_150_10
Pillars of Eternity	https://store.steampowered.com/app/291650/Pillars_of_Eternity/?snr=1_7_7_230_150_10
